ID,Name,Description,Price,Duration,Location
1,Đại Nội Huế,"Đại Nội Huế là trung tâm quyền lực của triều Nguyễn – triều đại phong kiến cuối cùng của Việt Nam. Đây là quần thể kiến trúc bao gồm Hoàng thành và Tử Cấm Thành, được UNESCO công nhận là Di sản Văn hóa Thế giới. Bên trong là nơi làm việc và sinh sống của vua, hoàng hậu và hoàng tộc. Du khách có thể chiêm ngưỡng Ngọ Môn, điện Thái Hòa, Hiển Lâm Các, Thế Miếu cùng nhiều hiện vật giá trị. Không gian nơi đây mang đậm vẻ cổ kính, huy hoàng và lặng lẽ, đưa người tham quan trở về thời vàng son của một triều đại đã qua.","150.000 VND (người lớn), 30.000 VND (trẻ em)",7:00 – 17:30,"Đường 23/8, TP. Huế"
2,Lăng Tự Đức,"Lăng Tự Đức (Khiêm Lăng) được xây dựng từ năm 1864 đến 1867, là nơi an nghỉ của vua Tự Đức – một trong những vị vua uyên bác, thi sĩ của triều Nguyễn. Lăng được bao quanh bởi hồ nước, rừng thông và các công trình kiến trúc cổ kính như Khiêm Cung Môn, Lương Khiêm Đường. Không gian nơi đây rất thơ mộng, hài hòa giữa thiên nhiên và con người. Lăng Tự Đức không chỉ là nơi yên nghỉ của nhà vua mà còn là biểu tượng cho tinh thần thi ca và sự suy ngẫm của một bậc quân vương.",150.000 VND,7:00 – 17:30,"Thôn Thượng Ba, Thủy Xuân, TP. Huế"
3,Lăng Minh Mạng,"Lăng Minh Mạng (Hiếu Lăng) được xem là một trong những lăng tẩm đẹp và quy mô nhất của triều Nguyễn. Nơi đây mang kiến trúc đối xứng hoàn hảo, thể hiện tư tưởng “thiên – địa – nhân” hài hòa. Khuôn viên rộng lớn gồm hơn 40 công trình lớn nhỏ như Hiếu Đức Môn, Minh Lâu, Tẩm điện… tất cả được bao quanh bởi rừng cây xanh mát, hồ sen và đồi núi. Lăng là nơi yên nghỉ của vua Minh Mạng – vị vua có công lớn trong việc xây dựng thể chế nhà Nguyễn.",150.000 VND,7:00 – 17:30,"Xã Hương Thọ, Hương Trà, TP. Huế"
4,Lăng Khải Định,"Lăng Khải Định (Ứng Lăng) là công trình kết hợp giữa kiến trúc phương Đông và phương Tây. Đây là lăng tẩm của vua Khải Định – vị vua thứ 12 của triều Nguyễn. Lăng được xây dựng công phu với nhiều loại vật liệu nhập khẩu từ Pháp, Ấn Độ, Trung Quốc... và có lối trang trí khảm sành sứ cầu kỳ. Điểm nổi bật là điện Khải Thành với tượng vua bằng đồng đúc ở Pháp. Lăng tuy nhỏ nhưng cực kỳ độc đáo và khác biệt so với các lăng khác ở Huế.",150.000 VND,7:00 – 17:30,"Xã Thủy Bằng, Hương Thủy, TP. Huế"
5,Chùa Thiên Mụ,"Chùa Thiên Mụ (Linh Mụ Tự) được xây dựng từ năm 1601, là biểu tượng tâm linh và văn hóa của xứ Huế. Nổi bật với tháp Phước Duyên cao 21m, chùa tọa lạc trên đồi Hà Khê, bên dòng sông Hương thơ mộng. Ngoài vẻ đẹp cổ kính, chùa còn lưu giữ nhiều hiện vật quý như chiếc xe ô tô của Hòa thượng Thích Quảng Đức và các tượng Phật cổ. Đây là điểm đến linh thiêng, thanh tịnh và lý tưởng để tịnh tâm, chiêm bái.",Miễn phí,6:00 – 18:00,"Đường Nguyễn Phúc Nguyên, TP. Huế"
6,Sông Hương,"Sông Hương là dòng sông thơ mộng chảy qua trung tâm TP. Huế, gắn liền với nhiều bài thơ, bài ca và nét đẹp văn hóa của vùng đất cố đô. Du khách có thể đi thuyền rồng ngắm hoàng hôn, nghe ca Huế trên sông, hoặc dạo bộ bên bờ sông. Các cây cầu như Trường Tiền, Dã Viên cũng là điểm chụp ảnh lý tưởng. Sông Hương không chỉ đẹp mà còn chứa đựng linh hồn của Huế – nhẹ nhàng, sâu lắng và đầy chất thơ.",Miễn phí (hoặc phí thuê thuyền 100.000 – 200.000 VND),Tự do,Trung tâm TP. Huế
7,Cầu Trường Tiền,"Là cây cầu biểu tượng bắc qua sông Hương, Cầu Trường Tiền được xây dựng năm 1899 bởi người Pháp. Với kiến trúc vòm thép, cầu mang nét cổ điển và là nơi lý tưởng để ngắm cảnh sông Hương, đặc biệt là vào lúc hoàng hôn. Vào các dịp lễ, cầu được trang hoàng bằng hệ thống đèn LED rực rỡ, thu hút rất nhiều du khách và nhiếp ảnh gia.",Miễn phí,Tự do,"Phường Phú Hội – Phú Cát, TP. Huế"
8,Chợ Đông Ba,"Là khu chợ lớn nhất và lâu đời nhất của Huế, Chợ Đông Ba không chỉ là trung tâm buôn bán sầm uất mà còn là nơi lưu giữ nét văn hóa đặc trưng của người dân cố đô. Du khách đến đây có thể thưởng thức các món ăn đặc sản như bún bò Huế, bánh bèo, bánh lọc... và mua các mặt hàng thủ công, quà lưu niệm độc đáo.",Miễn phí,6:00 – 18:00,"Đường Trần Hưng Đạo, TP. Huế"
9,Đồi Vọng Cảnh,"Đồi Vọng Cảnh là nơi lý tưởng để ngắm nhìn toàn cảnh sông Hương và thành phố Huế từ trên cao. Nơi đây từng là điểm đến yêu thích của các vua chúa nhà Nguyễn. Với không gian yên bình, rừng thông rì rào, và tầm nhìn thoáng đãng, đồi Vọng Cảnh là nơi lý tưởng để thư giãn, chụp ảnh và tận hưởng không khí trong lành.",Miễn phí,Tự do,"Gần lăng Tự Đức, TP. Huế"
10,Cung An Định,"Cung An Định là dinh thự riêng của vua Khải Định trước khi lên ngôi, nổi bật với kiến trúc pha trộn giữa phong cách châu Âu và truyền thống Việt Nam. Dù nhỏ hơn so với Đại Nội, cung vẫn toát lên vẻ sang trọng, tinh tế với các họa tiết trang trí cầu kỳ và không gian xanh mát. Đây là bối cảnh trong nhiều bộ phim nổi tiếng và là điểm đến thu hút du khách yêu nghệ thuật.",50.000 VND,7:00 – 17:30,"179B Phan Đình Phùng, TP. Huế"
